timestamp,tx,ty,tz,qx,qy,qz,qw,kf_id,map_id
1772193971.190866,-5.643439,0.282508,13.167506,0.070409,-0.831691,0.001335,0.550755,187,0
1772193971.575889,-5.725202,0.302297,13.209624,0.063652,-0.835244,-0.031583,0.545270,189,0
1772193970.200868,-5.036229,0.290997,13.324496,0.069840,-0.814898,0.016626,0.575141,182,0
1772193979.990793,-3.373382,0.570550,8.137480,-0.048016,0.970644,-0.007714,-0.235554,232,0
1772193972.015850,-5.709385,0.292049,13.282987,0.051440,-0.842913,-0.009485,0.535502,191,0
1772193972.290862,-5.611656,0.284001,13.301842,0.066584,-0.839236,-0.002388,0.539669,192,0
1772193973.885859,-4.769491,0.351329,13.453901,-0.079487,0.993663,-0.008008,-0.079069,199,0
1772193973.225854,-5.107466,0.281610,13.395487,-0.059000,0.904340,-0.010159,-0.422593,196,0
1772193973.005869,-5.207346,0.284376,13.339384,-0.052072,0.874461,-0.009575,-0.482198,195,0
1772193972.785876,-5.307268,0.287493,13.302780,0.054297,-0.855635,0.004885,0.514701,194,0
1772193974.765854,-3.887710,0.360247,13.902230,-0.050126,0.923547,0.012105,0.380002,204,0
1772193974.875876,-3.792852,0.371698,13.918753,-0.046361,0.905646,0.011554,0.421334,205,0
1772193974.655884,-3.982254,0.346497,13.860647,-0.047656,0.942077,0.001114,0.331992,203,0
1772193974.545856,-4.064733,0.353971,13.769911,-0.044916,0.961194,-0.008323,0.272065,202,0
1772193974.105841,-4.468529,0.373699,13.498569,-0.058806,0.997731,-0.014581,0.029346,200,0
1772193973.665857,-4.790909,0.304391,13.486597,-0.079584,0.972765,0.001951,-0.217695,198,0
1772193975.920849,-2.701418,0.477591,13.460352,-0.024837,0.935755,0.011418,0.351588,214,0
1772193978.725843,-2.697467,0.584414,9.736671,-0.045579,0.967565,-0.014417,-0.248059,227,0
1772193977.570854,-2.323860,0.618088,11.258371,-0.037021,0.975888,0.000427,-0.215108,223,0
1772193975.480854,-3.206753,0.382888,13.787238,-0.031398,0.865883,-0.000382,0.499260,210,0
1772193975.590866,-3.068459,0.420591,13.736379,-0.027827,0.877579,0.005161,0.478597,211,0
1772193975.095873,-3.580227,0.376051,13.887892,-0.034263,0.880838,0.008371,0.472101,207,0
1772193974.985857,-3.686035,0.379849,13.918632,-0.038268,0.891781,0.005354,0.450813,206,0
1772193975.205873,-3.480202,0.362955,13.863137,-0.028325,0.872463,0.001677,0.487856,208,0
1772193976.910823,-2.272382,0.583385,12.132139,-0.027587,0.999090,0.003830,-0.032314,220,0
1772193976.360839,-2.387239,0.576658,12.903400,-0.017937,0.981599,0.011871,0.189738,217,0
1772193975.370856,-3.326788,0.363870,13.814773,-0.031473,0.863232,-0.000660,0.503825,209,0
1772193975.810983,-2.801993,0.472579,13.579769,-0.027485,0.916596,0.015617,0.398563,213,0
1772193975.700859,-2.937943,0.448183,13.665484,-0.022330,0.895519,0.003999,0.444445,212,0
1772193976.195851,-2.487151,0.543318,13.139014,-0.030688,0.969816,0.013641,0.241513,216,0
1772193976.030851,-2.608603,0.503427,13.330629,-0.024657,0.953349,0.019321,0.300240,215,0
1772193976.525869,-2.312237,0.559165,12.663855,-0.002915,0.991618,0.010920,0.128706,218,0
1772193977.130845,-2.280118,0.583760,11.820530,-0.043990,0.990862,-0.001085,-0.127496,221,0
1772193976.690840,-2.281237,0.553537,12.437668,-0.013149,0.998181,0.006084,0.058530,219,0
1772193978.175843,-2.421115,0.574648,10.473333,-0.044039,0.981282,-0.022687,-0.186097,225,0
1772193977.845844,-2.359064,0.582721,10.901468,-0.013136,0.980402,-0.002834,-0.196549,224,0
